date,stock_id,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover,momentum_1m,momentum_3m,momentum_6m,volume_ma20,volume_momentum,historical_volatility,volatility_regime,volatility_z_score,atr,atr_ratio,hurst_exponent,skewness,kurtosis,ma5,ma10,ma20,ma60,macd,singal_line,macd_hist,rsi,bb_middle,bb_upper,bb_lower,volume_ma5,volume_ratio,price_momentum,price_acceleration,daily_return,volatility_5d,volatility_20d
2025-02-21,600519,1452.4,1460.61,1469.13,1445.41,36418,5418169587.0,1.64,0.98,14.21,0.29,0.02948308,-0.02191076,,29063.55,1.2530472,0.18153543,0,,26.445,0.01810545,,-0.44941487,-0.40945104,1452.366,1435.64,1424.2865,1453.72783333,2.06480719,-6.09736851,8.16217571,,1424.2865,1475.03783445,1373.53516555,30566.4,1.19143897,0.00912671,0.00290741,0.00982439,0.14794436,0.18153543
2025-02-24,600519,1460.4,1451.47,1471.92,1446.4,34744,5157907322.0,1.75,-0.63,-9.14,0.28,0.01704096,-0.02823955,,29885.3,1.16257826,0.18276702,0,,27.05714286,0.0186412,,-0.28546002,-0.57690202,1453.856,1440.396,1425.5025,1453.02483333,2.96982374,-4.28393006,7.2537538,,1425.5025,1477.68786834,1373.31713166,31021,1.12001547,0.00515921,-0.0039675,-0.00625766,0.15726771,0.18276702
2025-02-25,600519,1442.41,1426.4,1445.79,1424.4,28387,4142814459.0,1.47,-1.73,-25.07,0.23,-0.01437258,-0.02055839,,29734.15,0.95469351,0.18667295,0,,26.07714286,0.01828179,,-0.1189441,-0.74186703,1449.656,1443.996,1424.4625,1452.52583333,1.6451521,-3.09811363,4.74326573,,1424.4625,1475.64664058,1373.27835942,31138.4,0.91163965,-0.01450877,-0.01966798,-0.01727214,0.20242903,0.18667295
2025-02-26,600519,1427.85,1432.41,1437.36,1417.4,26366,3835949041.0,1.4,0.42,6.01,0.21,-0.00565062,-0.0101445,,30209.65,0.87276748,0.18682731,0,,25.93285714,0.01810435,,-0.23711576,-0.7175758,1443.458,1445.697,1424.0555,1452.28116667,1.06798598,-2.26489371,3.33287969,,1424.0555,1474.82882349,1373.28217651,29933,0.88083386,-0.02117671,-0.00666794,0.0042134,0.17705417,0.18682731
2025-02-27,600519,1432.42,1457.96,1462.3,1426.4,49762,7368002361.0,2.51,1.78,25.55,0.4,0.03152681,0.00030188,,31283.05,1.59070167,0.18366322,0,,25.69214286,0.01762198,,-0.31632423,-0.53540375,1445.77,1447.747,1426.2835,1452.2885,2.64179615,-1.28355574,3.92535189,,1426.2835,1478.96299777,1373.60400223,35135.4,1.4162924,0.00799226,0.02916897,0.01783707,0.21823694,0.18366322
2025-02-28,600519,1457.9,1473.19,1500.78,1454.4,56129,8475738166.0,3.18,1.04,15.23,0.45,0.04082945,0.00382946,,32733.25,1.7147396,0.18631021,0,,28.08285714,0.01906262,,-0.40644884,-0.6142918,1448.286,1450.326,1429.173,1452.38216667,5.05966115,-0.01491236,5.07457351,,1429.173,1485.54890008,1372.79709992,39077.6,1.43634717,0.00861284,0.00062058,0.0104461,0.21974007,0.18631021
2025-03-03,600519,1475.0,1459.42,1493.39,1453.9,31596,4736679903.0,2.68,-0.93,-13.77,0.25,0.0362255,-0.00484139,,32745.05,0.9649092,0.1891415,0,,29.47071429,0.02019344,,-0.36639295,-0.76958821,1449.876,1451.866,1431.724,1452.26383333,5.79787833,1.14764578,4.65023255,,1431.724,1488.75559139,1374.69240861,38448,0.82178527,0.00547721,-0.00313563,-0.00934706,0.22781728,0.1891415
2025-03-04,600519,1457.4,1442.51,1458.4,1437.61,25211,3710675863.0,1.42,-1.16,-16.91,0.2,0.02495399,-0.02153623,,32537.8,0.7748219,0.19494331,0,,29.02,0.02011771,,-0.26306492,-1.05518019,1453.098,1451.377,1433.48,1451.73466667,4.96123506,1.91036363,3.05087142,,1433.48,1489.51079041,1377.44920959,37812.8,0.6667319,0.01129417,0.00581696,-0.01158679,0.2007854,0.19494331
2025-03-05,600519,1444.4,1438.77,1446.4,1432.5,24605,3606932152.0,0.96,-0.26,-3.74,0.2,0.04546578,-0.02358298,,31730.2,0.77544421,0.17506216,0,,27.10285714,0.01883752,,-0.09893492,-1.22112858,1454.37,1448.914,1436.6085,1451.1555,3.95085944,2.3184628,1.63239665,,1436.6085,1485.73480436,1387.48219564,37460.6,0.65682344,0.00444007,-0.0068541,-0.0025927,0.20253232,0.17506216
2025-03-06,600519,1446.4,1478.38,1482.6,1444.48,42168,6297117400.0,2.65,2.75,39.61,0.34,0.06723745,0.00211488,,32470.8,1.2986437,0.19638226,0,,28.89214286,0.01954311,,0.14146067,-0.94163895,1458.454,1452.112,1441.2655,1451.2075,6.27400266,3.10957077,3.16443189,,1441.2655,1487.4596051,1395.0713949,35941.8,1.17323006,0.01400587,0.0095658,0.02753046,0.25764066,0.19638226
